Sensor_ID,Sensor_Name
4,Town Hall (West)
17,Collins Place (South)
18,Collins Place (North)
16,Australia on Collins
2,Bourke Street Mall (South)
1,Bourke Street Mall (North)
13,Flagstaff Station
3,Melbourne Central
15,State Library
9,Southern Cross Station
10,Victoria Point
12,New Quay
11,Waterfront City
8,Webb Bridge
5,Princes Bridge
6,Flinders Street Station Underpass
14,Sandridge Bridge
7,Birrarung Marr
24,Spencer St-Collins St (North)
23,Spencer St-Collins St (South)
25,Melbourne Convention Exhibition Centre
21,Bourke St-Russell St (West)
19,Chinatown-Swanston St (North)
22,Flinders St-Elizabeth St (East)
27,QV Market-Peel St
20,Chinatown-Lt Bourke St (South)
28,The Arts Centre
26,QV Market-Elizabeth St (West)
31,Lygon St (West)
29,St Kilda Rd-Alexandra Gardens
30,Lonsdale St (South)
32,City Square
33,Flinders St-Spring St (West)
34,Flinders St-Spark La
39,Alfred Place
38,Flinders St-Swanston St (West)
40,Lonsdale St-Spring St (West)
36,Queen St (West)
37,Lygon St (East)
42,Grattan St-Swanston St (West)
43,Monash Rd-Swanston St (West)
44,Tin Alley-Swanston St (West)
35,Southbank
